osmid,y,x,highway,street_count,lon,lat,elevation,ref,geometry
702882448,5028984.215303662,724949.7350663496,,3,11.8731179,45.3782281,10.932,,POINT (724949.7350663496 5028984.215303662)
702882634,5028849.102288745,724966.6578721405,,3,11.8732722,45.377008,11.742,,POINT (724966.6578721405 5028849.102288745)
6437099444,5028980.154338341,724955.626395052,,3,11.8731912,45.3781897,11.199,,POINT (724955.626395052 5028980.154338341)
9730334958,5029014.669006011,724949.9798983631,,4,11.8731349,45.3785018,11.538,,POINT (724949.9798983631 5029014.669006011)
6437099440,5028973.947895925,725003.2764156613,,3,11.8737962,45.3781186,11.699,,POINT (725003.2764156613 5028973.947895925)
6439729086,5029029.0912420815,724974.4407806754,crossing,4,11.8734535,45.3786236,10.979,,POINT (724974.4407806754 5029029.0912420815)
703498670,5029028.3436735375,724978.1127732355,,3,11.8735,45.3786157,11.03,,POINT (724978.1127732355 5029028.3436735375)
9730334955,5029036.801772722,724975.7410162215,,1,11.8734736,45.3786925,11.375,,POINT (724975.7410162215 5029036.801772722)
9730334954,5029018.86265839,724972.7131040173,,3,11.8734268,45.3785322,11.246,,POINT (724972.7131040173 5029018.86265839)
9730334957,5029014.673790618,724945.7543255045,,1,11.873081,45.3785032,11.572,,POINT (724945.7543255045 5029014.673790618)
9730334948,5029021.357123703,724956.6003980765,,3,11.8732224,45.3785598,11.332,,POINT (724956.6003980765 5029021.357123703)
702882482,5028848.688813506,724851.674485097,,3,11.8718053,45.3770412,11.24,,POINT (724851.674485097 5028848.688813506)
703904678,5028848.023639396,724857.6562774852,,3,11.8718813,45.3770333,11.195,,POINT (724857.6562774852 5028848.023639396)
703904572,5028846.157349502,724911.9254672688,,3,11.8725727,45.3769991,11.772,,POINT (724911.9254672688 5028846.157349502)
703904770,5028761.739806812,724860.1726003531,,1,11.8718741,45.3762568,12.126,,POINT (724860.1726003531 5028761.739806812)
5421101685,5028855.02548378,724782.3977787356,traffic_signals,4,11.8709245,45.3771204,11.29,,POINT (724782.3977787356 5028855.02548378)
703904577,5028719.817489658,724911.0046117748,,3,11.8725034,45.3758636,11.761,,POINT (724911.0046117748 5028719.817489658)
703498671,5029104.499403431,724988.82057736,,1,11.8736713,45.3792969,11.949,,POINT (724988.82057736 5029104.499403431)
702882754,5028528.462329352,724575.3282072745,,3,11.8681346,45.374251,12.166,,POINT (724575.3282072745 5028528.462329352)
702882742,5028622.82135853,724558.45569636,,1,11.8679623,45.3751047,11.732,,POINT (724558.45569636 5028622.82135853)
702882710,5028654.670307122,724714.1462773003,,4,11.8699627,45.3753411,11.384,,POINT (724714.1462773003 5028654.670307122)
